Date,Close,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,+St. Dev._sentiment,- St. Dev._sentiment
2000-01-06,1403.449951171875,0.75,0.1166,0.1333,0.5825,0.6167,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-07,1441.469970703125,0.75,0.1166,0.1333,0.5825,0.6167,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-10,1457.5999755859375,0.75,0.1166,0.1333,0.5825,0.6167,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-11,1438.56005859375,0.75,0.1166,0.1333,0.5825,0.6167,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-12,1432.25,0.75,0.1166,0.1333,0.5825,0.6167,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-13,1449.6800537109375,0.5926,0.2222,0.1852,0.599075,0.4074,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-14,1465.1500244140625,0.5926,0.2222,0.1852,0.599075,0.4074,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-18,1455.1400146484375,0.5926,0.2222,0.1852,0.599075,0.4074,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-19,1455.9000244140625,0.5926,0.2222,0.1852,0.599075,0.4074,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-20,1445.5699462890625,0.5714,0.25,0.1786,0.6017499999999999,0.3928,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-21,1441.3599853515625,0.5714,0.25,0.1786,0.6017499999999999,0.3928,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-24,1401.530029296875,0.5714,0.25,0.1786,0.6017499999999999,0.3928,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-25,1410.030029296875,0.5714,0.25,0.1786,0.6017499999999999,0.3928,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-26,1404.0899658203125,0.5714,0.25,0.1786,0.6017499999999999,0.3928,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-27,1398.56005859375,0.537,0.2593,0.2037,0.591375,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-28,1360.1600341796875,0.537,0.2593,0.2037,0.591375,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-01-31,1394.4599609375,0.537,0.2593,0.2037,0.591375,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-01,1409.280029296875,0.537,0.2593,0.2037,0.591375,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-02,1409.1199951171875,0.537,0.2593,0.2037,0.591375,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-03,1424.969970703125,0.5111,0.2444,0.2444,0.5777625000000001,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-04,1424.3699951171875,0.5111,0.2444,0.2444,0.5777625000000001,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-07,1424.239990234375,0.5111,0.2444,0.2444,0.5777625000000001,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-08,1441.719970703125,0.5111,0.2444,0.2444,0.5777625000000001,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-09,1411.7099609375,0.5111,0.2444,0.2444,0.5777625000000001,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-10,1416.8299560546875,0.4186,0.3023,0.2791,0.5625875,0.1395,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-11,1387.1199951171875,0.4186,0.3023,0.2791,0.5625875,0.1395,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-14,1389.93994140625,0.4186,0.3023,0.2791,0.5625875,0.1395,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-15,1402.050048828125,0.4186,0.3023,0.2791,0.5625875,0.1395,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-16,1387.6700439453125,0.4186,0.3023,0.2791,0.5625875,0.1395,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-17,1388.260009765625,0.2727,0.4848,0.2424,0.531675,0.0302999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-18,1346.0899658203125,0.2727,0.4848,0.2424,0.531675,0.0302999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-22,1352.1700439453125,0.2727,0.4848,0.2424,0.531675,0.0302999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-23,1360.68994140625,0.2727,0.4848,0.2424,0.531675,0.0302999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-24,1353.4300537109375,0.4138,0.2759,0.3103,0.5084,0.1034999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-25,1333.3599853515625,0.4138,0.2759,0.3103,0.5084,0.1034999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-28,1348.050048828125,0.4138,0.2759,0.3103,0.5084,0.1034999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-02-29,1366.4200439453125,0.4138,0.2759,0.3103,0.5084,0.1034999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-01,1379.18994140625,0.4138,0.2759,0.3103,0.5084,0.1034999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-02,1381.760009765625,0.3667,0.4,0.2333,0.4604875,0.1334,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-03,1409.1700439453125,0.3667,0.4,0.2333,0.4604875,0.1334,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-06,1391.280029296875,0.3667,0.4,0.2333,0.4604875,0.1334,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-07,1355.6199951171875,0.3667,0.4,0.2333,0.4604875,0.1334,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-08,1366.699951171875,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-09,1401.68994140625,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-10,1395.0699462890625,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-13,1383.6199951171875,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-14,1359.1500244140625,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-15,1392.1400146484375,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-16,1458.469970703125,0.5,0.2333,0.2667,0.4503999999999999,0.2333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-17,1464.469970703125,0.5,0.2333,0.2667,0.4503999999999999,0.2333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-20,1456.6300048828125,0.5,0.2333,0.2667,0.4503999999999999,0.2333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-21,1493.8699951171875,0.5,0.2333,0.2667,0.4503999999999999,0.2333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-22,1500.6400146484375,0.5,0.2333,0.2667,0.4503999999999999,0.2333,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-23,1527.3499755859375,0.6571,0.1429,0.2,0.4654125,0.4571,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-24,1527.4599609375,0.6571,0.1429,0.2,0.4654125,0.4571,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-27,1523.8599853515625,0.6571,0.1429,0.2,0.4654125,0.4571,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-28,1507.72998046875,0.6571,0.1429,0.2,0.4654125,0.4571,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-29,1508.52001953125,0.6571,0.1429,0.2,0.4654125,0.4571,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-30,1487.9200439453125,0.3889,0.1111,0.5,0.4501375,-0.1110999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-03-31,1498.5799560546875,0.3889,0.1111,0.5,0.4501375,-0.1110999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-03,1505.969970703125,0.3889,0.1111,0.5,0.4501375,-0.1110999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-04,1494.72998046875,0.3889,0.1111,0.5,0.4501375,-0.1110999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-05,1487.3699951171875,0.3889,0.1111,0.5,0.4501375,-0.1110999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-06,1501.3399658203125,0.4583,0.3333,0.2083,0.4550999999999999,0.2499999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-07,1516.3499755859375,0.4583,0.3333,0.2083,0.4550999999999999,0.2499999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-10,1504.4599609375,0.4583,0.3333,0.2083,0.4550999999999999,0.2499999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-11,1500.5899658203125,0.4583,0.3333,0.2083,0.4550999999999999,0.2499999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-12,1467.1700439453125,0.4583,0.3333,0.2083,0.4550999999999999,0.2499999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-13,1440.510009765625,0.5185,0.1852,0.2963,0.485825,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-14,1356.56005859375,0.5185,0.1852,0.2963,0.485825,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-17,1401.43994140625,0.5185,0.1852,0.2963,0.485825,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-18,1441.6099853515625,0.5185,0.1852,0.2963,0.485825,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2000-04-19,1427.469970703125,0.5185,0.1852,0.2963,0.485825,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
