Date,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,+St. Dev.,- St. Dev.,High,Low,Close
2001-05-10,0.5333,0.2889,0.1778,1.0,0.4220125,0.3555,0.3761076426708409,0.4773140559726221,0.2749012293690596,1270.0,1240.79,1245.67
2001-05-17,0.5176,0.2941,0.1882,0.9999,0.4519875,0.3293999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1296.48,1241.02,1291.96
2001-05-24,0.619,0.2143,0.1667,1.0,0.4828,0.4523,0.3761076426708409,0.4773140559726221,0.2749012293690596,1315.93,1276.42,1277.89
2001-05-31,0.4935,0.2208,0.2857,1.0,0.5005625,0.2077999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1278.42,1245.96,1260.67
2001-06-07,0.4255,0.3191,0.2553,0.9999,0.5158750000000001,0.1701999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1286.62,1256.36,1264.96
2001-06-14,0.3051,0.4746,0.2203,1.0,0.499325,0.0847999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1264.96,1203.03,1214.36
2001-06-21,0.3333,0.4333,0.2333,0.9999,0.4827999999999999,0.0999999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1240.24,1207.71,1225.35
2001-06-28,0.3038,0.3671,0.3291,1.0,0.4413874999999999,-0.0252999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1237.29,1204.64,1224.38
2001-07-05,0.4074,0.4074,0.1852,1.0,0.42565,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1239.78,1188.74,1190.59
2001-07-12,0.2527,0.3846,0.3626,0.9999,0.3925375,-0.1099,0.3761076426708409,0.4773140559726221,0.2749012293690596,1218.54,1168.46,1215.68
2001-07-19,0.5,0.3478,0.1522,1.0,0.3776625,0.3478,0.3761076426708409,0.4773140559726221,0.2749012293690596,1225.04,1196.14,1210.85
2001-07-26,0.2952,0.3238,0.381,1.0,0.352875,-0.0857999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1215.22,1165.54,1205.82
2001-08-02,0.3636,0.2727,0.3636,0.9999,0.3451374999999999,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,1226.27,1200.41,1214.35
2001-08-09,0.3494,0.3735,0.2771,1.0,0.350675,0.0722999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1214.35,1169.55,1190.16
2001-08-16,0.3542,0.2708,0.375,1.0,0.3532875,-0.0207999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1198.79,1156.07,1161.97
2001-08-23,0.3448,0.3448,0.3103,0.9999,0.3584125,0.0344999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1185.15,1153.34,1184.93
2001-08-30,0.3143,0.4571,0.2286,1.0,0.3467749999999999,0.0857,0.3761076426708409,0.4773140559726221,0.2749012293690596,1186.85,1124.87,1133.58
