Date,Close,Volume,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,Close_sentiment
2000-05-11,1407.81005859375,953600000,0.3023,0.4419,0.2558,0.4903875,0.0464999999999999,0.3761076426708409,1420.96
2000-05-18,1437.2099609375,807900000,0.3529,0.2353,0.4118,0.4523625,-0.0589,0.3761076426708409,1406.95
2000-05-25,1381.52001953125,984500000,0.3492,0.2857,0.3651,0.4473999999999999,-0.0158999999999999,0.3761076426708409,1378.02
2000-06-01,1448.81005859375,960100000,0.4167,0.2083,0.375,0.4422,0.0417,0.3761076426708409,1477.26
2000-06-08,1461.6700439453125,854300000,0.6154,0.1538,0.2308,0.4543125,0.3845999999999999,0.3761076426708409,1456.95
2000-06-15,1478.72998046875,1011400000,0.4375,0.375,0.1875,0.4293374999999999,0.25,0.3761076426708409,1464.46
2000-06-22,1452.1800537109375,1022700000,0.2667,0.3333,0.4,0.3860625,-0.1333,0.3761076426708409,1441.48
2000-07-06,1456.6700439453125,947300000,0.561,0.2805,0.1585,0.4127125,0.4025000000000001,0.3761076426708409,1454.6
2000-07-13,1495.8399658203125,1026800000,0.65,0.15,0.2,0.456175,0.45,0.3761076426708409,1478.9
2000-07-20,1495.5699462890625,1064600000,0.6667,0.2133,0.12,0.4954,0.5467,0.3761076426708409,1509.98
2000-07-27,1449.6199951171875,1156400000,0.4286,0.3714,0.2,0.505325,0.2285999999999999,0.3761076426708409,1480.19
2000-08-03,1452.56005859375,1095600000,0.413,0.3478,0.2391,0.5048625,0.1738999999999999,0.3761076426708409,1419.89
2000-08-10,1460.25,940800000,0.541,0.3443,0.1148,0.4955624999999999,0.4262,0.3761076426708409,1462.93
2000-08-17,1496.0699462890625,922400000,0.5938,0.2188,0.1875,0.5151,0.4063,0.3761076426708409,1471.84
2000-08-23,1505.969970703125,871000000,0.5769,0.1923,0.2308,0.5538749999999999,0.3460999999999999,0.3761076426708409,1491.72
2000-08-31,1517.6800537109375,1056600000,0.5588,0.2647,0.1765,0.5535999999999999,0.3823,0.3761076426708409,1506.45
2000-09-07,1502.510009765625,985500000,0.625,0.2917,0.0833,0.5504749999999999,0.5417,0.3761076426708409,1520.77
2000-09-14,1480.8699951171875,1014000000,0.4118,0.3529,0.2353,0.5186125,0.1765,0.3761076426708409,1494.5
2000-09-21,1449.050048828125,1105400000,0.4375,0.375,0.1875,0.519725,0.25,0.3761076426708409,1465.81
2000-09-28,1458.2900390625,1206200000,0.5333,0.4,0.0667,0.5347625,0.4666,0.3761076426708409,1448.72
2000-10-05,1436.280029296875,1176100000,0.4194,0.3226,0.2581,0.5195624999999999,0.1613,0.3761076426708409,1436.51
2000-10-12,1329.780029296875,1388600000,0.4146,0.2683,0.3171,0.4971625,0.0975,0.3761076426708409,1408.99
2000-10-19,1388.760009765625,1297900000,0.4889,0.2667,0.2444,0.4861625,0.2445,0.3761076426708409,1374.17
2000-10-26,1364.43994140625,1303800000,0.641,0.1795,0.1795,0.4964375,0.4615,0.3761076426708409,1396.93
2000-11-02,1428.3199462890625,1167700000,0.5161,0.2581,0.2258,0.482825,0.2903,0.3761076426708409,1379.58
2000-11-09,1400.1400146484375,1111000000,0.6286,0.2857,0.0857,0.509925,0.5429,0.3761076426708409,1426.69
2000-11-16,1372.3199462890625,956300000,0.4583,0.375,0.1667,0.512525,0.2915999999999999,0.3761076426708409,1365.98
2000-11-30,1314.949951171875,1186530000,0.6042,0.2292,0.1667,0.5146,0.4375,0.3761076426708409,1341.77
2000-12-07,1343.550048828125,1128000000,0.4706,0.1569,0.3725,0.5216000000000001,0.0981,0.3761076426708409,1315.23
2000-12-14,1340.9300537109375,1061300000,0.5962,0.0769,0.3269,0.5350125,0.2692999999999999,0.3761076426708409,1369.89
2000-12-21,1274.8599853515625,1449900000,0.3111,0.1778,0.5111,0.493775,-0.2,0.3761076426708409,1312.15
2000-12-28,1334.219970703125,1015300000,0.4,0.28,0.32,0.4792625,0.08,0.3761076426708409,1305.95
2001-01-04,1333.3399658203125,2131000000,0.4259,0.3333,0.2407,0.453925,0.1852,0.3761076426708409,1320.28
2001-01-11,1326.8199462890625,1411200000,0.3571,0.2143,0.4286,0.441275,-0.0715,0.3761076426708409,1298.35
2001-01-18,1347.969970703125,1445000000,0.3659,0.3902,0.2439,0.4413749999999999,0.122,0.3761076426708409,1318.55
2001-01-25,1357.510009765625,1258000000,0.4923,0.2462,0.2615,0.4273875,0.2308,0.3761076426708409,1342.54
2001-02-01,1373.469970703125,1118800000,0.5,0.3077,0.1923,0.4310625,0.3077,0.3761076426708409,1354.95
2001-02-08,1332.530029296875,1107200000,0.5556,0.3,0.1444,0.4259875,0.4112,0.3761076426708409,1349.47
2001-02-15,1326.6099853515625,1153700000,0.3043,0.4783,0.2174,0.4251375,0.0869,0.3761076426708409,1314.76
2001-02-22,1252.8199462890625,1365900000,0.2632,0.3509,0.386,0.4080374999999999,-0.1228,0.3761076426708409,1301.53
2001-03-01,1241.22998046875,1294900000,0.4595,0.2027,0.3378,0.4122375,0.1217,0.3761076426708409,1234.18
2001-03-08,1264.739990234375,1114100000,0.3163,0.3673,0.3163,0.4071375,0.0,0.3761076426708409,1233.42
2001-03-15,1173.56005859375,1259500000,0.3091,0.3273,0.3636,0.4000374999999999,-0.0544999999999999,0.3761076426708409,1150.53
2001-03-22,1117.5799560546875,1723950000,0.2778,0.25,0.4722,0.373225,-0.1944,0.3761076426708409,1139.83
2001-03-29,1147.949951171875,1234500000,0.3725,0.3529,0.2745,0.3572875,0.0979999999999999,0.3761076426708409,1160.33
2001-04-05,1151.43994140625,1368000000,0.3514,0.2613,0.3874,0.3317625,-0.036,0.3761076426708409,1128.43
2001-04-12,1183.5,1102000000,0.303,0.2879,0.4091,0.3316,-0.1061,0.3761076426708409,1183.5
2001-04-19,1253.68994140625,1486800000,0.4375,0.25,0.3125,0.3533875,0.125,0.3761076426708409,1242.98
2001-04-26,1234.52001953125,1345200000,0.4655,0.2241,0.3103,0.3541375,0.1552,0.3761076426708409,1253.05
2001-05-03,1248.5799560546875,1137900000,0.6351,0.1487,0.2162,0.3939875,0.4189,0.3761076426708409,1266.61
2001-05-10,1255.1800537109375,1056700000,0.5333,0.2889,0.1778,0.4220125,0.3555,0.3761076426708409,1245.67
2001-05-17,1288.489990234375,1355600000,0.5176,0.2941,0.1882,0.4519875,0.3293999999999999,0.3761076426708409,1291.96
2001-05-24,1293.1700439453125,1100700000,0.619,0.2143,0.1667,0.4828,0.4523,0.3761076426708409,1277.89
2001-05-31,1255.8199462890625,1226600000,0.4935,0.2208,0.2857,0.5005625,0.2077999999999999,0.3761076426708409,1260.67
2001-06-07,1276.9599609375,1089600000,0.4255,0.3191,0.2553,0.5158750000000001,0.1701999999999999,0.3761076426708409,1264.96
2001-06-14,1219.8699951171875,1242900000,0.3051,0.4746,0.2203,0.499325,0.0847999999999999,0.3761076426708409,1214.36
2001-06-21,1237.0400390625,1546820000,0.3333,0.4333,0.2333,0.4827999999999999,0.0999999999999999,0.3761076426708409,1225.35
2001-06-28,1226.199951171875,1327300000,0.3038,0.3671,0.3291,0.4413874999999999,-0.0252999999999999,0.3761076426708409,1224.38
2001-07-05,1219.239990234375,934900000,0.4074,0.4074,0.1852,0.42565,0.2221999999999999,0.3761076426708409,1190.59
2001-07-12,1208.1400146484375,1394000000,0.2527,0.3846,0.3626,0.3925375,-0.1099,0.3761076426708409,1215.68
